Honda	Ridgeline	2016 Ridgeline Crew Cab	2016	Not Available	Truck	Not Available	Not Available	 Gas	Not Available	Not Available	 Four Wheel Drive	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Porsche	Cayman	2014 Cayman Coupe	2014	 20/30 mpg	Coupe	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	2	Flat 6	 Rear Wheel Drive	 Premium unleaded (required)	 2.7 L	 275 hp @ 7400 rpm	 213 ft-lbs. @ 4500 rpm	$52,600	        Yes	        Yes	        Yes
Porsche	Cayenne	2014 Cayenne SUV	2014	 15/22 mpg	SUV	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (required)	 3.6 L	 300 hp @ 6300 rpm	 295 ft-lbs. @ 3000 rpm	$49,600	        Yes	        Yes	        No
Porsche	Panamera	2016 Panamera Hybrid	2016	Not Available	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Hybrid	4	V6	 Rear Wheel Drive	 Premium unleaded (required)	 3.0 L	 416 hp @ 5500 rpm	 435 ft-lbs. @ 1250 rpm	$96,100	        Yes	        Yes	        Yes
Porsche	Panamera	2015 Panamera Hybrid	2015	Not Available	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Hybrid	4	V6	 Rear Wheel Drive	 Premium unleaded (required)	 3.0 L	 416 hp @ 5500 rpm	 435 ft-lbs. @ 1250 rpm	$99,000	        Yes	        Yes	        Yes
Porsche	Panamera	2014 Panamera Hybrid	2014	Not Available	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Hybrid	4	V6	 Rear Wheel Drive	 Premium unleaded (required)	 3.0 L	 416 hp @ 5500 rpm	 435 ft-lbs. @ 1250 rpm	$99,000	        Yes	        Yes	        Yes
Porsche	Macan	2016 Macan SUV	2016	 17/23 mpg	SUV	 7-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 340 hp @ 5500 rpm	 339 ft-lbs. @ 1450 rpm	$52,600	        Yes	        Yes	        No
Porsche	Macan	2015 Macan SUV	2015	 17/23 mpg	SUV	 7-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 340 hp @ 5500 rpm	 339 ft-lbs. @ 1450 rpm	$49,900	        Yes	        Yes	        No
Volvo	XC60	2016 XC60 SUV	2016	 24/31 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 240 hp @ 5600 rpm	 258 ft-lbs. @ 1500 rpm	$36,400	        Yes	        Yes	        No
Volvo	XC60	2014 XC60 SUV	2014	 18/26 mpg	SUV	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 6	 Front Wheel Drive	 Regular unleaded	 3.2 L	 240 hp @ 6200 rpm	 236 ft-lbs. @ 3200 rpm	$34,850	        Yes	        Yes	        No
Volvo	S60	2016 S60 T6 R-Design Platinum	2016	 18/26 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 6	 All Wheel Drive	 Regular unleaded	 3.0 L	 325 hp @ 5600 rpm	 354 ft-lbs. @ 2100 rpm	$47,700	        Yes	        Yes	        Yes
Volvo	XC60	2015 XC60 SUV	2015	 24/31 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 240 hp @ 5600 rpm	 258 ft-lbs. @ 1500 rpm	$35,750	        Yes	        Yes	        No
Volvo	V60 Cross Country	2015 V60 Cross Country Wagon	2015	 20/28 mpg	Wagon	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 5	 All Wheel Drive	 Regular unleaded	 2.5 L	 250 hp @ 5400 rpm	 266 ft-lbs. @ 1800 rpm	$41,000	        Yes	        Yes	        Yes
Volvo	S80	2016 S80 Sedan	2016	 25/37 mpg	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 240 hp @ 5600 rpm	 258 ft-lbs. @ 1500 rpm	$43,450	        Yes	        Yes	        Yes
Volvo	S80	2015 S80 Sedan	2015	 26/38 mpg	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 240 hp @ 5600 rpm	 258 ft-lbs. @ 1500 rpm	$40,500	        Yes	        Yes	        No
Volvo	V60 Cross Country	2016 V60 Cross Country Wagon	2016	 20/28 mpg	Wagon	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 5	 All Wheel Drive	 Regular unleaded	 2.5 L	 250 hp @ 5400 rpm	 266 ft-lbs. @ 1800 rpm	$41,000	        Yes	        Yes	        Yes
Volvo	S60	2016 S60 T6 R-Design	2016	 18/26 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 6	 All Wheel Drive	 Regular unleaded	 3.0 L	 325 hp @ 5600 rpm	 354 ft-lbs. @ 2100 rpm	$44,200	        Yes	        Yes	        Yes
Volvo	S60	2014 S60 T6 R-Design	2014	 18/25 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 6	 All Wheel Drive	 Regular unleaded	 3.0 L	 325 hp @ 5600 rpm	 354 ft-lbs. @ 2100 rpm	$42,700	        Yes	        Yes	        No
Mitsubishi	Lancer Sportback	2014 Lancer Sportback Hatchback	2014	 24/32 mpg	Hatchback	 Continuously Variable-speed Automatic	 5 Yr./ 60000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 148 hp @ 6000 rpm	 145 ft-lbs. @ 4200 rpm	$18,595	        No	        No	        No
Mitsubishi	Mirage	2015 Mirage Hatchback	2015	 34/42 mpg	Hatchback	 5-speed Manual	 5 Yr./ 60000 Mi.	 Gas	5	Inline 3	 Front Wheel Drive	 Regular unleaded	 1.2 L	 74 hp @ 6000 rpm	 74 ft-lbs. @ 4000 rpm	$12,995	        No	        No	        No
Buick	Regal	2016 Regal Sedan	2016	 19/31 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Flex-fuel (ffv)	5	Inline 4	 Front Wheel Drive	 Flex-fuel (FFV)	 2.4 L	 182 hp @ 6700 rpm	 172 ft-lbs. @ 4900 rpm	$27,065	        Yes	        Yes	        Yes
Buick	Regal	2015 Regal Sedan	2015	 21/30 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Flex-fuel (ffv)	5	Inline 4	 Front Wheel Drive	 Flex-fuel (FFV)	 2.4 L	 182 hp @ 6700 rpm	 172 ft-lbs. @ 4900 rpm	$27,065	        Yes	        Yes	        No
Volvo	S60	2016 S60 Sedan	2016	 26/38 mpg	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 240 hp @ 5600 rpm	 258 ft-lbs. @ 1500 rpm	$33,950	        Yes	        Yes	        No
Buick	Regal	2014 Regal Sedan	2014	 21/30 mpg	Sedan	 6-speed Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 259 hp @ 5300 rpm	 295 ft-lbs. @ 3000 rpm	$29,690	        Yes	        Yes	        No
Buick	Envision	2016 Envision SUV	2016	Not Available	SUV	 6-speed Shiftable Automatic	Not Available	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.5 L	 195 hp @ 6300 rpm	 187 ft-lbs. @ 4400 rpm	Not Available	Not Available	Not Available	Not Available
Buick	LaCrosse	2015 LaCrosse Hybrid	2015	 25/36 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.4 L	 182 hp @ 6700 rpm	 172 ft-lbs. @ 4900 rpm	$33,635	        Yes	        No	        No
Buick	LaCrosse	2016 LaCrosse Sedan	2016	 18/28 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Flex-fuel (ffv)	5	V6	 Front Wheel Drive	 Flex-fuel (FFV)	 3.6 L	 304 hp @ 6800 rpm	 264 ft-lbs. @ 5300 rpm	$31,065	        Yes	        No	        Yes
Buick	LaCrosse	2014 LaCrosse Hybrid	2014	 25/36 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.4 L	 182 hp @ 6700 rpm	 172 ft-lbs. @ 4900 rpm	$33,535	        Yes	        No	        No
Buick	Encore	2016 Encore SUV	2016	 25/33 mpg	SUV	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.4 L	 138 hp @ 4900 rpm	 148 ft-lbs. @ 1850 rpm	$24,065	        Yes	        No	        Yes
Buick	Encore	2015 Encore SUV	2015	 25/33 mpg	SUV	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.4 L	 138 hp @ 4900 rpm	 148 ft-lbs. @ 1850 rpm	$24,065	        Yes	        No	        Yes
Buick	Encore	2014 Encore SUV	2014	 25/33 mpg	SUV	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.4 L	 138 hp @ 4900 rpm	 148 ft-lbs. @ 1850 rpm	$24,160	        Yes	        No	        No
Buick	LaCrosse	2015 LaCrosse Sedan	2015	 18/28 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Flex-fuel (ffv)	5	V6	 Front Wheel Drive	 Flex-fuel (FFV)	 3.6 L	 304 hp @ 6800 rpm	 264 ft-lbs. @ 5300 rpm	$31,065	        Yes	        No	        No
Buick	LaCrosse	2014 LaCrosse Sedan	2014	 25/36 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.4 L	 182 hp @ 6700 rpm	 172 ft-lbs. @ 4900 rpm	$33,535	        Yes	        No	        No
Volvo	S60	2014 S60 Sedan	2014	 21/30 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 5	 Front Wheel Drive	 Regular unleaded	 2.5 L	 250 hp @ 5500 rpm	 266 ft-lbs. @ 1800 rpm	$32,400	        Yes	        Yes	        No
Mitsubishi	i-MiEV	2014 i-MiEV Hatchback	2014	 126/99 mpg	Hatchback	 1-speed Direct Drive	 3 Yr./ 36000 Mi.	 Electric	4	Not Available	 Rear Wheel Drive	Not Available	Not Available	Not Available	Not Available	$22,995	        No	        Yes	        No
Mitsubishi	i-MiEV	2016 i-MiEV Hatchback	2016	 126/99 mpg	Hatchback	 1-speed Direct Drive	Not Available	 Electric	4	Not Available	 Rear Wheel Drive	Not Available	Not Available	 66 hp @ 3000 rpm	 145 ft-lbs. @ 0 rpm	$22,995	        No	        Yes	        No
Volvo	S60	2015 S60 Sedan	2015	 25/37 mpg	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 240 hp @ 5600 rpm	 258 ft-lbs. @ 1500 rpm	$33,300	        Yes	        Yes	        No
Buick	Verano	2016 Verano Sedan	2016	 21/32 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.4 L	 180 hp @ 6700 rpm	 171 ft-lbs. @ 4900 rpm	$21,065	        No	        No	        Yes
Buick	Verano	2015 Verano Sedan	2015	 21/32 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.4 L	 180 hp @ 6700 rpm	 171 ft-lbs. @ 4900 rpm	$21,065	        No	        No	        Yes
Buick	Verano	2014 Verano Sedan	2014	 21/32 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.4 L	 180 hp @ 6700 rpm	 171 ft-lbs. @ 4900 rpm	$23,700	        Yes	        No	        No
Mitsubishi	Mirage	2014 Mirage Hatchback	2014	 34/42 mpg	Hatchback	 5-speed Manual	 5 Yr./ 60000 Mi.	 Gas	5	Inline 3	 Front Wheel Drive	 Regular unleaded	 1.2 L	 74 hp @ 6000 rpm	 74 ft-lbs. @ 4000 rpm	$12,995	        No	        No	        No
Mitsubishi	Lancer	2014 Lancer Sedan	2014	 25/34 mpg	Sedan	 5-speed Manual	 5 Yr./ 60000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 148 hp @ 6000 rpm	 145 ft-lbs. @ 4250 rpm	$17,195	        No	        No	        No
Mitsubishi	Lancer	2016 Lancer Sedan	2016	 24/34 mpg	Sedan	 5-speed Manual	Not Available	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 148 hp @ 6000 rpm	 145 ft-lbs. @ 4200 rpm	$17,595	        Yes	        No	        No
Mitsubishi	Lancer	2015 Lancer Sedan	2015	 25/34 mpg	Sedan	 5-speed Manual	 5 Yr./ 60000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 148 hp @ 6000 rpm	 145 ft-lbs. @ 4250 rpm	$17,395	        No	        No	        No
Mitsubishi	Lancer Evolution	2015 Lancer Evolution Sedan	2015	 17/23 mpg	Sedan	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 2.0 L	 291 hp @ 6500 rpm	 300 ft-lbs. @ 4000 rpm	$34,495	        Yes	        Yes	        No
Mitsubishi	Lancer Evolution	2014 Lancer Evolution Sedan	2014	 17/23 mpg	Sedan	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 2.0 L	 291 hp @ 6500 rpm	 300 ft-lbs. @ 4000 rpm	$34,995	        Yes	        Yes	        No
Volvo	S60	2015 S60 T6 R-Design	2015	 19/28 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 6	 All Wheel Drive	 Regular unleaded	 3.0 L	 325 hp @ 5600 rpm	 354 ft-lbs. @ 2100 rpm	$42,700	        Yes	        Yes	        No
Volvo	S90	2017 S90 Sedan	2017	Not Available	Sedan	Not Available	Not Available	 Gas	Not Available	Not Available	 All Wheel Drive	 Premium unleaded (required)	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Volvo	S80	2014 S80 Sedan	2014	 20/29 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 6	 Front Wheel Drive	 Regular unleaded	 3.2 L	 240 hp @ 6400 rpm	 236 ft-lbs. @ 3200 rpm	$39,900	        Yes	        Yes	        No
Volvo	V60	2016 V60 Wagon	2016	 25/29 mpg	Wagon	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 240 hp @ 5600 rpm	 258 ft-lbs. @ 1500 rpm	$35,950	        Yes	        Yes	        No
Volvo	V60	2015 V60 Wagon	2015	 25/37 mpg	Wagon	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 240 hp @ 5600 rpm	 258 ft-lbs. @ 1500 rpm	$35,750	        Yes	        Yes	        No
Land Rover	Range Rover Sport	2016 Range Rover Sport Diesel	2016	 22/29 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Diesel	5	V6	 Four Wheel Drive	 Diesel	 3.0 L	Not Available	 443 ft-lbs. @ 1750 rpm	$66,450	        Yes	        Yes	        Yes
Land Rover	Range Rover Sport	2015 Range Rover Sport SVR	2015	 14/19 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Flex-fuel (ffv)	5	V8	 Four Wheel Drive	 Flex-fuel (FFV)	 5.0 L	Not Available	Not Available	$110,475	        Yes	        Yes	        Yes
Land Rover	Range Rover Sport	2016 Range Rover Sport SVR	2016	 14/19 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V8	 Four Wheel Drive	 Premium unleaded (recommended)	 5.0 L	Not Available	 502 ft-lbs. @ 2500 rpm	$111,350	        Yes	        Yes	        Yes
Land Rover	Range Rover Evoque	2017 Range Rover Evoque SUV	2017	Not Available	SUV	Not Available	Not Available	 Gas	Not Available	Not Available	 All Wheel Drive	 Premium unleaded (required)	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Land Rover	Range Rover Evoque	2016 Range Rover Evoque SUV	2016	 21/30 mpg	SUV	 9-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 All Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 240 hp @ 5500 rpm	 250 ft-lbs. @ 1750 rpm	$41,475	        Yes	        Yes	        No
Land Rover	Range Rover Evoque	2015 Range Rover Evoque SUV	2015	 21/30 mpg	SUV	 9-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 All Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 240 hp @ 5500 rpm	 250 ft-lbs. @ 1750 rpm	$41,100	        Yes	        Yes	        No
Land Rover	Range Rover Evoque	2014 Range Rover Evoque SUV	2014	 21/30 mpg	SUV	 9-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 All Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 240 hp @ 5500 rpm	 250 ft-lbs. @ 1750 rpm	$41,100	        Yes	        Yes	        No
Land Rover	LR2	2015 LR2 SUV	2015	 17/24 mpg	SUV	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 All Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 240 hp @ 5500 rpm	 250 ft-lbs. @ 1750 rpm	$36,600	        Yes	        Yes	        No
Land Rover	Range Rover Sport	2016 Range Rover Sport SUV	2016	 17/23 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 Four Wheel Drive	 Premium unleaded (recommended)	 3.0 L	 340 hp @ 6500 rpm	 332 ft-lbs. @ 3500 rpm	$64,950	        Yes	        Yes	        Yes
Land Rover	LR4	2016 LR4 SUV	2016	 15/19 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 Four Wheel Drive	 Premium unleaded (required)	 3.0 L	 340 hp @ 6500 rpm	 332 ft-lbs. @ 3500 rpm	$50,400	        Yes	        Yes	        No
Lincoln	MKT	2016 MKT Wagon	2016	 17/25 mpg	Wagon	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	7	V6	 Front Wheel Drive	 Regular unleaded	 3.7 L	 303 hp @ 6500 rpm	 278 ft-lbs. @ 4000 rpm	$43,370	        Yes	        Yes	        Yes
Lincoln	MKX	2016 MKX SUV	2016	 17/26 mpg	SUV	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 Front Wheel Drive	 Regular unleaded	 3.7 L	 303 hp @ 6500 rpm	 278 ft-lbs. @ 4000 rpm	$38,100	        Yes	        Yes	        Yes
Lincoln	MKX	2015 MKX SUV	2015	 18/26 mpg	SUV	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 Front Wheel Drive	 Regular unleaded	 3.7 L	 305 hp @ 6500 rpm	 280 ft-lbs. @ 4000 rpm	$38,900	        Yes	        Yes	        Yes
Jaguar	XK	2015 XK XKR	2015	 15/22 mpg	Coupe	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	4	V8	 Rear Wheel Drive	 Premium unleaded (required)	 5.0 L	 510 hp @ 6000 rpm	 461 ft-lbs. @ 2500 rpm	Not Available	        Yes	        Yes	        Yes
Lincoln	MKS	2016 MKS Sedan	2016	 19/28 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 Front Wheel Drive	 Regular unleaded	 3.7 L	 350 hp @ 6500 rpm	 280 ft-lbs. @ 4000 rpm	$39,010	        Yes	        Yes	        Yes
Jaguar	XK	2015 XK Coupe	2015	 16/24 mpg	Coupe	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	4	V8	 Rear Wheel Drive	 Premium unleaded (required)	 5.0 L	 385 hp @ 6500 rpm	 380 ft-lbs. @ 3500 rpm	$84,500	        Yes	        Yes	        Yes
Jaguar	XK	2014 XK Coupe	2014	 16/24 mpg	Coupe	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	4	V8	 Rear Wheel Drive	 Premium unleaded (required)	 5.0 L	 385 hp @ 6500 rpm	 380 ft-lbs. @ 3500 rpm	$79,000	        Yes	        Yes	        Yes
Jaguar	XK	2014 XK Convertible	2014	 16/22 mpg	Convertible	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	4	V8	 Rear Wheel Drive	 Premium unleaded (required)	 5.0 L	 385 hp @ 6500 rpm	 380 ft-lbs. @ 3500 rpm	$85,000	        Yes	        Yes	        Yes
Jaguar	XK	2015 XK Convertible	2015	 16/22 mpg	Convertible	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	4	V8	 Rear Wheel Drive	 Premium unleaded (required)	 5.0 L	 385 hp @ 6500 rpm	 380 ft-lbs. @ 3500 rpm	$90,500	        Yes	        Yes	        Yes
Lincoln	MKC	2016 MKC SUV	2016	 20/29 mpg	SUV	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 240 hp @ 5500 rpm	 270 ft-lbs. @ 3000 rpm	$33,260	        Yes	        Yes	        No
Jaguar	XK	2014 XK XKR	2014	 15/22 mpg	Coupe	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	4	V8	 Rear Wheel Drive	 Premium unleaded (required)	 5.0 L	 510 hp @ 6000 rpm	 461 ft-lbs. @ 2500 rpm	Not Available	        Yes	        Yes	        Yes
Lincoln	MKC	2015 MKC SUV	2015	 20/29 mpg	SUV	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 240 hp @ 5500 rpm	 270 ft-lbs. @ 3000 rpm	$33,100	        Yes	        Yes	        No
Jaguar	XK	2015 XK XKR-S	2015	 15/22 mpg	Coupe	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	4	V8	 Rear Wheel Drive	 Premium unleaded (required)	 5.0 L	 550 hp @ 6000 rpm	 502 ft-lbs. @ 2500 rpm	Not Available	        Yes	        Yes	        Yes
Jaguar	XK	2014 XK XKR-S	2014	 15/22 mpg	Coupe	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	4	V8	 Rear Wheel Drive	 Premium unleaded (required)	 5.0 L	 550 hp @ 6000 rpm	 502 ft-lbs. @ 2500 rpm	Not Available	        Yes	        Yes	        Yes
Lincoln	MKS	2015 MKS Sedan	2015	 19/28 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 Front Wheel Drive	 Regular unleaded	 3.7 L	 305 hp @ 6500 rpm	 280 ft-lbs. @ 4000 rpm	$38,850	        Yes	        Yes	        Yes
Lincoln	MKX	2014 MKX SUV	2014	 18/26 mpg	SUV	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 Front Wheel Drive	 Regular unleaded	 3.7 L	 305 hp @ 6500 rpm	 280 ft-lbs. @ 4000 rpm	$38,575	        Yes	        Yes	        Yes
Lincoln	MKS	2014 MKS Sedan	2014	 19/28 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 Front Wheel Drive	 Regular unleaded	 3.7 L	 304 hp @ 6500 rpm	 279 ft-lbs. @ 4000 rpm	$38,850	        Yes	        Yes	        Yes
Lincoln	MKZ	2016 MKZ Hybrid	2016	 41/39 mpg	Sedan	 Continuously Variable-speed Automatic	 4 Yr./ 50000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 188 hp @ 6000 rpm	 129 ft-lbs. @ 4000 rpm	$35,190	        Yes	        Yes	        Yes
Lincoln	MKZ	2015 MKZ Hybrid	2015	 41/39 mpg	Sedan	 Continuously Variable-speed Automatic	 4 Yr./ 50000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 188 hp @ 6000 rpm	 129 ft-lbs. @ 4000 rpm	$35,190	        Yes	        Yes	        Yes
Lincoln	MKZ	2014 MKZ Hybrid	2014	 38/37 mpg	Sedan	 Continuously Variable-speed Automatic	 4 Yr./ 50000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 188 hp @ 6000 rpm	 129 ft-lbs. @ 4000 rpm	$35,190	        Yes	        Yes	        Yes
Lincoln	MKT	2015 MKT Wagon	2015	 17/25 mpg	Wagon	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	7	V6	 Front Wheel Drive	 Regular unleaded	 3.7 L	 303 hp @ 6500 rpm	 278 ft-lbs. @ 4000 rpm	$43,210	        Yes	        Yes	        Yes
Lincoln	MKT	2014 MKT Wagon	2014	 17/25 mpg	Wagon	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	7	V6	 Front Wheel Drive	 Regular unleaded	 3.7 L	 303 hp @ 6500 rpm	 278 ft-lbs. @ 4000 rpm	$42,785	        Yes	        Yes	        Yes
Land Rover	LR2	2014 LR2 SUV	2014	 17/24 mpg	SUV	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 All Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 240 hp @ 5500 rpm	 250 ft-lbs. @ 1750 rpm	$36,600	        Yes	        Yes	        No
Land Rover	Range Rover	2016 Range Rover SUV	2016	 17/23 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 Four Wheel Drive	 Premium unleaded (recommended)	 3.0 L	 340 hp @ 6500 rpm	 332 ft-lbs. @ 3500 rpm	$84,950	        Yes	        Yes	        Yes
Land Rover	Range Rover	2014 Range Rover SUV	2014	 17/23 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 Four Wheel Drive	 Premium unleaded (required)	 3.0 L	 340 hp @ 6500 rpm	 332 ft-lbs. @ 3500 rpm	$83,300	        Yes	        Yes	        Yes
