Honda	Ridgeline	2016 Ridgeline Crew Cab	2016	Not Available	Truck	Not Available	Not Available	 Gas	Not Available	Not Available	 Four Wheel Drive	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Chrysler	300	2014 300 Sedan	2014	 19/31 mpg	Sedan	 8-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	5	V6	 Rear Wheel Drive	 Flex-fuel (FFV)	 3.6 L	 292 hp @ 6350 rpm	 260 ft-lbs. @ 4800 rpm	$31,395	        Yes	        Yes	        No
Porsche	911	2017 911 Coupe	2017	Not Available	Coupe	Not Available	Not Available	 Gas	Not Available	Not Available	 Front Wheel Drive	 Premium unleaded (required)	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Porsche	911	2016 911 Coupe	2016	 19/27 mpg	Coupe	 7-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Flat 6	 Rear Wheel Drive	 Premium unleaded (required)	 3.4 L	 350 hp @ 7400 rpm	 287 ft-lbs. @ 5600 rpm	$84,300	        Yes	        Yes	        Yes
Porsche	911	2015 911 Coupe	2015	 19/27 mpg	Coupe	 7-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Flat 6	 Rear Wheel Drive	 Premium unleaded (required)	 3.4 L	 350 hp @ 7400 rpm	 287 ft-lbs. @ 5600 rpm	$84,300	        Yes	        Yes	        Yes
Porsche	911	2014 911 Coupe	2014	 19/27 mpg	Coupe	 7-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Flat 6	 Rear Wheel Drive	 Premium unleaded (required)	 3.4 L	 350 hp @ 7400 rpm	 287 ft-lbs. @ 5600 rpm	$84,300	        Yes	        Yes	        Yes
Porsche	918 Spyder	2015 918 Spyder Convertible	2015	Not Available	Convertible	 7-speed Automated Manual	 4 Yr./ 50000 Mi.	 Hybrid	2	V8	 All Wheel Drive	 Premium unleaded (required)	 4.6 L	 887 hp @ 8500 rpm	 944 ft-lbs. @ 800 rpm	$845,000	        Yes	        No	        No
Porsche	Boxster	2016 Boxster Convertible	2016	 20/30 mpg	Convertible	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	2	Flat 6	 Rear Wheel Drive	 Premium unleaded (required)	 2.7 L	 265 hp @ 6700 rpm	 206 ft-lbs. @ 4500 rpm	$52,100	        Yes	        Yes	        No
Porsche	Boxster	2015 Boxster Convertible	2015	 20/30 mpg	Convertible	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	2	Flat 6	 Rear Wheel Drive	 Premium unleaded (required)	 2.7 L	 265 hp @ 6700 rpm	 206 ft-lbs. @ 4500 rpm	$51,400	        Yes	        Yes	        No
Porsche	Boxster	2014 Boxster Convertible	2014	 20/30 mpg	Convertible	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	2	Flat 6	 Rear Wheel Drive	 Premium unleaded (required)	 2.7 L	 265 hp @ 6700 rpm	 206 ft-lbs. @ 4400 rpm	$50,400	        Yes	        Yes	        No
Porsche	Cayenne	2016 Cayenne Hybrid	2016	Not Available	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Hybrid	5	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 333 hp @ 5500 rpm	 325 ft-lbs. @ 3000 rpm	$77,200	        Yes	        Yes	        Yes
Porsche	Cayenne	2016 Cayenne SUV	2016	 19/24 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (required)	 3.6 L	 300 hp @ 6300 rpm	 295 ft-lbs. @ 3000 rpm	$58,300	        Yes	        Yes	        Yes
Porsche	Cayenne	2015 Cayenne SUV	2015	 20/29 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Diesel	5	V6	 All Wheel Drive	 Diesel	 3.0 L	 240 hp @ 3500 rpm	 406 ft-lbs. @ 1750 rpm	$61,700	        Yes	        Yes	        Yes
Porsche	Cayenne	2015 Cayenne Hybrid	2015	Not Available	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Hybrid	5	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 333 hp @ 5500 rpm	 325 ft-lbs. @ 3000 rpm	$76,400	        Yes	        Yes	        Yes
